v_single	v_exponential	v_powerlaw	n_R_single	n_R_exponential	n_R_powerlaw
2.279999999999992449e-02	1.127999999999994805e-02	2.279999999999992449e-02	2.311960542540064445e+00	1.640233519824853659e+00	3.331628926223490161e+00
2.289999999999992042e-02	1.128999999999994765e-02	2.289999999999992042e-02	2.325341050020659495e+00	1.641529344914353317e+00	3.374228585534401859e+00
2.299999999999992328e-02	1.129999999999994724e-02	2.299999999999992328e-02	2.338877338877328960e+00	1.642828118650948133e+00	3.418022528160167273e+00
2.309999999999991921e-02	1.130999999999994683e-02	2.309999999999991921e-02	2.352572145545785975e+00	1.644129851110561980e+00	3.463061690784426716e+00
2.319999999999992207e-02	1.131999999999994642e-02	2.319999999999992207e-02	2.366428270929732847e+00	1.645434552415078411e+00	3.509399948493397314e+00
2.329999999999991800e-02	1.132999999999994602e-02	2.329999999999991800e-02	2.380448582310610739e+00	1.646742232732603339e+00	3.557094329762176432e+00
2.339999999999992086e-02	1.133999999999994561e-02	2.339999999999992086e-02	2.394636015325659617e+00	1.648052902277729936e+00	3.606205250596620449e+00
2.349999999999991679e-02	1.134999999999994520e-02	2.349999999999991679e-02	2.408993576017119054e+00	1.649366571311803309e+00	3.656796769851909268e+00
2.359999999999991965e-02	1.135999999999994479e-02	2.359999999999991965e-02	2.423524342955611033e+00	1.650683250143189174e+00	3.708936867996678988e+00
2.369999999999991558e-02	1.136999999999994439e-02	2.369999999999991558e-02	2.438231469440820032e+00	1.652002949127542530e+00	3.762697751873393059e+00
2.379999999999991844e-02	1.137999999999994398e-02	2.379999999999991844e-02	2.453118185782805494e+00	1.653325678668081000e+00	3.818156188328119871e+00
2.389999999999991437e-02	1.138999999999994357e-02	2.389999999999991437e-02	2.468187801667385273e+00	1.654651449215855941e+00	3.875393869951254011e+00
2.399999999999991723e-02	1.139999999999994316e-02	2.399999999999991723e-02	2.483443708609259115e+00	1.655980271270029558e+00	3.934497816593838238e+00
2.409999999999991316e-02	1.140999999999994276e-02	2.409999999999991316e-02	2.498889382496654932e+00	1.657312155378150687e+00	3.995560816809653915e+00
2.419999999999991602e-02	1.141999999999994235e-02	2.419999999999991602e-02	2.514528386231547508e+00	1.658647112136434565e+00	4.058681913933140706e+00
2.429999999999991195e-02	1.142999999999994194e-02	2.429999999999991195e-02	2.530364372469621870e+00	1.659985152190044388e+00	4.123966942148702408e+00
2.439999999999991481e-02	1.143999999999994154e-02	2.439999999999991481e-02	2.546401086464450181e+00	1.661326286233372418e+00	4.191529118654568009e+00
2.449999999999991074e-02	1.144999999999994113e-02	2.449999999999991074e-02	2.562642369020486921e+00	1.662670525010327083e+00	4.261489698890587263e+00
2.459999999999991360e-02	1.145999999999994072e-02	2.459999999999991360e-02	2.579092159559821074e+00	1.664017879314618309e+00	4.333978702807295136e+00
2.469999999999990953e-02	1.146999999999994031e-02	2.469999999999990953e-02	2.595754499307783902e+00	1.665368359990047509e+00	4.409135721327569257e+00
2.479999999999991239e-02	1.147999999999993991e-02	2.479999999999991239e-02	2.612633534602865293e+00	1.666721977930797571e+00	4.487110813525208464e+00
2.489999999999990832e-02	1.148999999999993950e-02	2.489999999999990832e-02	2.629733520336590580e+00	1.668078744081726406e+00	4.568065506652944308e+00
2.499999999999991118e-02	1.149999999999993909e-02	2.499999999999991118e-02	2.647058823529397031e+00	1.669438669438661371e+00	4.652173913043403886e+00
2.509999999999990711e-02	1.150999999999993868e-02	2.509999999999990711e-02	2.664613927048776088e+00	1.670801765048697263e+00	4.739623980134718195e+00
2.519999999999990997e-02	1.151999999999993828e-02	2.519999999999990997e-02	2.682403433476379107e+00	1.672168042010494293e+00	4.830618892508061535e+00
2.529999999999990590e-02	1.152999999999993787e-02	2.529999999999990590e-02	2.700432069131044166e+00	1.673537511474580519e+00	4.925378647949669286e+00
2.539999999999990876e-02	1.153999999999993746e-02	2.539999999999990876e-02	2.718704688255179747e+00	1.674910184643654265e+00	5.024141833270374669e+00
2.549999999999990469e-02	1.154999999999993705e-02	2.549999999999990469e-02	2.737226277372245775e+00	1.676286072772889879e+00	5.127167630057703818e+00
2.559999999999990755e-02	1.155999999999993665e-02	2.559999999999990755e-02	2.756001959823598746e+00	1.677665187170245265e+00	5.234738085860476176e+00
2.569999999999990348e-02	1.156999999999993624e-02	2.569999999999990348e-02	2.775037000493322026e+00	1.679047539196771854e+00	5.347160692710320795e+00
2.579999999999990634e-02	1.157999999999993583e-02	2.579999999999990634e-02	2.794336810730235321e+00	1.680433140266926584e+00	5.464771322620409322e+00
2.589999999999990227e-02	1.158999999999993542e-02	2.589999999999990227e-02	2.813906953476719597e+00	1.681822001848886083e+00	5.587937579080434425e+00
2.599999999999990513e-02	1.159999999999993502e-02	2.599999999999990513e-02	2.833753148614591044e+00	1.683214135464862871e+00	5.717062634989078518e+00
2.609999999999990106e-02	1.160999999999993461e-02	2.609999999999990106e-02	2.853881278538793254e+00	1.684609552691423762e+00	5.852589641434127188e+00
2.619999999999990392e-02	1.161999999999993420e-02	2.619999999999990392e-02	2.874297393970343784e+00	1.686008265159812058e+00	5.995006808896822470e+00
2.629999999999989985e-02	1.162999999999993379e-02	2.629999999999989985e-02	2.895007720020566389e+00	1.687410284556268847e+00	6.144853283651454667e+00
